LENGTH	COUNT	PRCT
10	323	6.66254
11	674	13.9026
12	207	4.2698
13	281	5.7962
14	180	3.71287
15	278	5.73432
16	106	2.18647
17	187	3.85726
18	81	1.67079
19	217	4.47607
20	87	1.79455
21	99	2.04208
22	57	1.17574
23	126	2.59901
24	63	1.2995
25	75	1.54703
26	52	1.07261
27	69	1.42327
28	39	0.804455
29	55	1.13449
30	36	0.742574
31	55	1.13449
32	32	0.660066
33	49	1.01073
34	33	0.680693
35	53	1.09323
36	26	0.536304
37	24	0.49505
38	17	0.35066
39	47	0.969472
40	15	0.309406
41	21	0.433168
42	15	0.309406
43	23	0.474422
44	9	0.185644
45	13	0.268152
46	8	0.165017
47	24	0.49505
48	11	0.226898
49	11	0.226898
50	13	0.268152
51	15	0.309406
52	4	0.0825083
53	14	0.288779
54	10	0.206271
55	11	0.226898
56	6	0.123762
57	3	0.0618812
58	6	0.123762
59	15	0.309406
60	6	0.123762
61	9	0.185644
62	6	0.123762
63	12	0.247525
64	3	0.0618812
65	9	0.185644
66	4	0.0825083
67	15	0.309406
68	7	0.144389
69	7	0.144389
70	3	0.0618812
71	6	0.123762
72	2	0.0412541
73	2	0.0412541
74	6	0.123762
75	5	0.103135
76	5	0.103135
77	5	0.103135
78	2	0.0412541
79	11	0.226898
80	5	0.103135
81	4	0.0825083
83	8	0.165017
84	4	0.0825083
85	5	0.103135
86	1	0.0206271
87	7	0.144389
88	7	0.144389
89	8	0.165017
90	2	0.0412541
91	5	0.103135
92	3	0.0618812
93	1	0.0206271
95	6	0.123762
96	5	0.103135
97	3	0.0618812
98	8	0.165017
99	5	0.103135
100	1	0.0206271
101	8	0.165017
102	5	0.103135
103	7	0.144389
104	3	0.0618812
105	4	0.0825083
106	3	0.0618812
107	1	0.0206271
108	2	0.0412541
109	5	0.103135
110	4	0.0825083
111	2	0.0412541
112	1	0.0206271
113	1	0.0206271
114	2	0.0412541
115	4	0.0825083
116	5	0.103135
117	2	0.0412541
118	2	0.0412541
119	6	0.123762
120	3	0.0618812
121	5	0.103135
122	3	0.0618812
123	2	0.0412541
124	2	0.0412541
125	6	0.123762
126	2	0.0412541
127	4	0.0825083
128	2	0.0412541
129	2	0.0412541
130	4	0.0825083
131	4	0.0825083
132	4	0.0825083
133	1	0.0206271
134	5	0.103135
135	3	0.0618812
136	2	0.0412541
137	2	0.0412541
138	1	0.0206271
139	5	0.103135
140	1	0.0206271
141	2	0.0412541
143	3	0.0618812
144	1	0.0206271
145	2	0.0412541
146	1	0.0206271
147	2	0.0412541
148	3	0.0618812
149	3	0.0618812
151	3	0.0618812
152	1	0.0206271
154	1	0.0206271
155	2	0.0412541
157	2	0.0412541
159	1	0.0206271
160	1	0.0206271
163	2	0.0412541
164	4	0.0825083
165	3	0.0618812
166	1	0.0206271
167	3	0.0618812
168	3	0.0618812
169	3	0.0618812
171	2	0.0412541
172	3	0.0618812
173	2	0.0412541
174	2	0.0412541
175	2	0.0412541
176	1	0.0206271
177	1	0.0206271
179	2	0.0412541
180	2	0.0412541
181	4	0.0825083
182	1	0.0206271
183	1	0.0206271
184	3	0.0618812
185	1	0.0206271
186	3	0.0618812
187	3	0.0618812
188	3	0.0618812
189	1	0.0206271
192	1	0.0206271
193	3	0.0618812
194	2	0.0412541
195	2	0.0412541
197	3	0.0618812
198	1	0.0206271
199	3	0.0618812
200	1	0.0206271
202	1	0.0206271
203	2	0.0412541
204	1	0.0206271
206	3	0.0618812
207	2	0.0412541
208	1	0.0206271
209	1	0.0206271
210	1	0.0206271
211	1	0.0206271
213	2	0.0412541
214	2	0.0412541
215	1	0.0206271
216	3	0.0618812
219	2	0.0412541
220	1	0.0206271
221	2	0.0412541
224	1	0.0206271
226	2	0.0412541
227	2	0.0412541
228	1	0.0206271
229	1	0.0206271
230	4	0.0825083
232	2	0.0412541
234	1	0.0206271
235	3	0.0618812
237	1	0.0206271
239	1	0.0206271
240	1	0.0206271
241	1	0.0206271
242	1	0.0206271
243	2	0.0412541
244	3	0.0618812
246	2	0.0412541
247	1	0.0206271
248	1	0.0206271
250	2	0.0412541
251	3	0.0618812
252	1	0.0206271
253	2	0.0412541
254	2	0.0412541
257	1	0.0206271
258	1	0.0206271
260	1	0.0206271
261	1	0.0206271
264	2	0.0412541
267	1	0.0206271
270	2	0.0412541
274	2	0.0412541
275	3	0.0618812
277	1	0.0206271
279	1	0.0206271
282	2	0.0412541
283	1	0.0206271
284	2	0.0412541
285	1	0.0206271
286	1	0.0206271
288	1	0.0206271
289	1	0.0206271
290	2	0.0412541
291	1	0.0206271
293	2	0.0412541
294	1	0.0206271
297	1	0.0206271
300	1	0.0206271
302	1	0.0206271
303	1	0.0206271
304	3	0.0618812
306	1	0.0206271
307	3	0.0618812
308	1	0.0206271
309	3	0.0618812
310	5	0.103135
311	1	0.0206271
312	3	0.0618812
313	5	0.103135
314	4	0.0825083
315	5	0.103135
316	3	0.0618812
317	2	0.0412541
318	8	0.165017
319	6	0.123762
320	6	0.123762
321	7	0.144389
322	2	0.0412541
323	3	0.0618812
324	3	0.0618812
325	5	0.103135
326	2	0.0412541
327	4	0.0825083
328	9	0.185644
329	4	0.0825083
330	2	0.0412541
331	1	0.0206271
332	7	0.144389
333	5	0.103135
334	5	0.103135
335	4	0.0825083
336	2	0.0412541
337	5	0.103135
338	2	0.0412541
339	2	0.0412541
340	1	0.0206271
342	2	0.0412541
343	1	0.0206271
344	2	0.0412541
345	1	0.0206271
346	1	0.0206271
347	1	0.0206271
349	1	0.0206271
350	1	0.0206271
351	1	0.0206271
354	1	0.0206271
356	1	0.0206271
358	1	0.0206271
360	1	0.0206271
363	2	0.0412541
369	1	0.0206271
375	2	0.0412541
377	1	0.0206271
379	1	0.0206271
384	1	0.0206271
387	1	0.0206271
388	2	0.0412541
395	1	0.0206271
398	1	0.0206271
403	1	0.0206271
408	2	0.0412541
411	1	0.0206271
412	1	0.0206271
413	2	0.0412541
419	1	0.0206271
422	1	0.0206271
431	3	0.0618812
436	2	0.0412541
439	1	0.0206271
440	1	0.0206271
442	2	0.0412541
444	1	0.0206271
445	1	0.0206271
449	2	0.0412541
454	1	0.0206271
457	1	0.0206271
459	1	0.0206271
462	1	0.0206271
468	1	0.0206271
470	1	0.0206271
475	1	0.0206271
476	1	0.0206271
483	1	0.0206271
487	2	0.0412541
493	1	0.0206271
496	1	0.0206271
499	1	0.0206271
509	1	0.0206271
510	1	0.0206271
511	2	0.0412541
512	1	0.0206271
514	1	0.0206271
519	1	0.0206271
522	1	0.0206271
530	1	0.0206271
531	1	0.0206271
532	1	0.0206271
537	2	0.0412541
538	1	0.0206271
540	1	0.0206271
541	1	0.0206271
544	2	0.0412541
546	1	0.0206271
547	1	0.0206271
549	1	0.0206271
558	1	0.0206271
559	1	0.0206271
560	1	0.0206271
570	2	0.0412541
572	2	0.0412541
578	1	0.0206271
580	1	0.0206271
583	1	0.0206271
590	2	0.0412541
592	1	0.0206271
595	1	0.0206271
597	1	0.0206271
605	1	0.0206271
607	1	0.0206271
609	1	0.0206271
610	2	0.0412541
616	1	0.0206271
617	1	0.0206271
622	1	0.0206271
627	2	0.0412541
629	2	0.0412541
635	1	0.0206271
636	1	0.0206271
640	1	0.0206271
646	1	0.0206271
649	1	0.0206271
657	1	0.0206271
671	1	0.0206271
672	1	0.0206271
677	1	0.0206271
678	1	0.0206271
688	1	0.0206271
691	1	0.0206271
694	2	0.0412541
700	1	0.0206271
705	1	0.0206271
711	1	0.0206271
712	1	0.0206271
719	1	0.0206271
730	1	0.0206271
731	1	0.0206271
733	1	0.0206271
737	2	0.0412541
749	1	0.0206271
754	1	0.0206271
761	1	0.0206271
764	1	0.0206271
766	1	0.0206271
776	1	0.0206271
788	1	0.0206271
793	1	0.0206271
794	1	0.0206271
805	1	0.0206271
810	1	0.0206271
819	1	0.0206271
826	1	0.0206271
831	1	0.0206271
836	1	0.0206271
837	2	0.0412541
851	1	0.0206271
863	1	0.0206271
871	1	0.0206271
887	1	0.0206271
910	1	0.0206271
919	1	0.0206271
954	1	0.0206271
956	1	0.0206271
966	1	0.0206271
968	1	0.0206271
971	1	0.0206271
972	1	0.0206271
982	1	0.0206271
993	1	0.0206271
998	4	0.0825083
1005	1	0.0206271
1007	3	0.0618812
1030	2	0.0412541
1048	1	0.0206271
1067	1	0.0206271
1087	1	0.0206271
1098	1	0.0206271
1102	1	0.0206271
1109	1	0.0206271
1155	1	0.0206271
1176	1	0.0206271
1199	1	0.0206271
1207	1	0.0206271
1210	1	0.0206271
1216	1	0.0206271
1220	2	0.0412541
1225	1	0.0206271
1238	1	0.0206271
1246	1	0.0206271
1252	1	0.0206271
1269	1	0.0206271
1270	1	0.0206271
1277	1	0.0206271
1300	1	0.0206271
1350	1	0.0206271
1387	1	0.0206271
1389	1	0.0206271
1410	1	0.0206271
1443	1	0.0206271
1453	1	0.0206271
1461	1	0.0206271
1471	1	0.0206271
1473	1	0.0206271
1503	1	0.0206271
1525	1	0.0206271
1570	1	0.0206271
1576	1	0.0206271
1579	1	0.0206271
1594	2	0.0412541
1606	1	0.0206271
1611	1	0.0206271
1619	1	0.0206271
1672	1	0.0206271
1677	1	0.0206271
