LENGTH	COUNT	PRCT
-86616	1	0.0105831
-60148	1	0.0105831
-49509	1	0.0105831
-48207	1	0.0105831
-46470	1	0.0105831
-38209	1	0.0105831
-33607	1	0.0105831
-29784	1	0.0105831
-25985	1	0.0105831
-25421	1	0.0105831
-23977	1	0.0105831
-10421	1	0.0105831
-10274	1	0.0105831
-9859	1	0.0105831
-8761	1	0.0105831
-8214	1	0.0105831
-8206	1	0.0105831
-7796	1	0.0105831
-7588	1	0.0105831
-7246	1	0.0105831
-7142	1	0.0105831
-6374	1	0.0105831
-6324	1	0.0105831
-6181	1	0.0105831
-6105	1	0.0105831
-6078	1	0.0105831
-6075	2	0.0211663
-6065	1	0.0105831
-6052	1	0.0105831
-6038	1	0.0105831
-5990	1	0.0105831
-5406	1	0.0105831
-5232	1	0.0105831
-5149	1	0.0105831
-4707	1	0.0105831
-4695	1	0.0105831
-4679	1	0.0105831
-4324	1	0.0105831
-4299	1	0.0105831
-4213	1	0.0105831
-4210	1	0.0105831
-3818	1	0.0105831
-3744	1	0.0105831
-3699	1	0.0105831
-3449	1	0.0105831
-3406	1	0.0105831
-3312	1	0.0105831
-3157	1	0.0105831
-3154	1	0.0105831
-3038	1	0.0105831
-2977	1	0.0105831
-2935	1	0.0105831
-2864	1	0.0105831
-2730	1	0.0105831
-2653	1	0.0105831
-2611	1	0.0105831
-2603	1	0.0105831
-2600	1	0.0105831
-2472	1	0.0105831
-2446	1	0.0105831
-2432	1	0.0105831
-2384	1	0.0105831
-2248	1	0.0105831
-2244	1	0.0105831
-2142	1	0.0105831
-2037	1	0.0105831
-2015	1	0.0105831
-1994	1	0.0105831
-1992	1	0.0105831
-1925	1	0.0105831
-1919	1	0.0105831
-1882	1	0.0105831
-1844	1	0.0105831
-1822	1	0.0105831
-1807	1	0.0105831
-1784	1	0.0105831
-1758	1	0.0105831
-1647	1	0.0105831
-1638	1	0.0105831
-1636	1	0.0105831
-1575	1	0.0105831
-1539	1	0.0105831
-1505	1	0.0105831
-1502	1	0.0105831
-1500	1	0.0105831
-1445	1	0.0105831
-1424	1	0.0105831
-1407	1	0.0105831
-1385	1	0.0105831
-1352	2	0.0211663
-1345	1	0.0105831
-1341	1	0.0105831
-1240	1	0.0105831
-1172	1	0.0105831
-1156	1	0.0105831
-1151	1	0.0105831
-1135	1	0.0105831
-1128	1	0.0105831
-1109	1	0.0105831
-1107	1	0.0105831
-1100	1	0.0105831
-1089	1	0.0105831
-1085	1	0.0105831
-1075	1	0.0105831
-1073	1	0.0105831
-1066	1	0.0105831
-1042	1	0.0105831
-1036	1	0.0105831
-1014	1	0.0105831
-989	1	0.0105831
-964	1	0.0105831
-950	1	0.0105831
-946	1	0.0105831
-934	1	0.0105831
-929	1	0.0105831
-920	1	0.0105831
-864	1	0.0105831
-862	1	0.0105831
-861	1	0.0105831
-857	1	0.0105831
-846	1	0.0105831
-842	1	0.0105831
-835	1	0.0105831
-831	1	0.0105831
-818	1	0.0105831
-815	1	0.0105831
-812	1	0.0105831
-808	1	0.0105831
-804	1	0.0105831
-800	1	0.0105831
-796	1	0.0105831
-794	1	0.0105831
-780	2	0.0211663
-764	1	0.0105831
-760	1	0.0105831
-759	1	0.0105831
-748	1	0.0105831
-744	1	0.0105831
-720	1	0.0105831
-718	1	0.0105831
-709	1	0.0105831
-700	1	0.0105831
-656	1	0.0105831
-655	1	0.0105831
-647	1	0.0105831
-642	1	0.0105831
-620	1	0.0105831
-617	1	0.0105831
-612	1	0.0105831
-604	1	0.0105831
-601	1	0.0105831
-594	1	0.0105831
-585	1	0.0105831
-574	1	0.0105831
-573	1	0.0105831
-570	1	0.0105831
-561	1	0.0105831
-559	1	0.0105831
-558	1	0.0105831
-557	2	0.0211663
-553	1	0.0105831
-546	1	0.0105831
-531	1	0.0105831
-528	1	0.0105831
-526	1	0.0105831
-525	1	0.0105831
-522	1	0.0105831
-517	1	0.0105831
-509	1	0.0105831
-493	2	0.0211663
-479	1	0.0105831
-478	1	0.0105831
-476	2	0.0211663
-468	3	0.0317494
-463	1	0.0105831
-457	1	0.0105831
-456	1	0.0105831
-453	1	0.0105831
-450	1	0.0105831
-448	1	0.0105831
-433	1	0.0105831
-431	1	0.0105831
-419	1	0.0105831
-405	1	0.0105831
-404	1	0.0105831
-400	1	0.0105831
-397	1	0.0105831
-396	1	0.0105831
-394	1	0.0105831
-392	1	0.0105831
-387	1	0.0105831
-382	1	0.0105831
-381	1	0.0105831
-374	1	0.0105831
-372	1	0.0105831
-367	1	0.0105831
-360	1	0.0105831
-357	1	0.0105831
-356	1	0.0105831
-354	1	0.0105831
-353	2	0.0211663
-351	2	0.0211663
-348	1	0.0105831
-344	1	0.0105831
-343	1	0.0105831
-342	2	0.0211663
-339	2	0.0211663
-338	2	0.0211663
-337	2	0.0211663
-336	2	0.0211663
-335	3	0.0317494
-334	1	0.0105831
-333	4	0.0423325
-332	1	0.0105831
-331	4	0.0423325
-330	2	0.0211663
-328	4	0.0423325
-327	3	0.0317494
-326	4	0.0423325
-325	4	0.0423325
-324	5	0.0529157
-323	8	0.084665
-322	2	0.0211663
-321	5	0.0529157
-320	4	0.0423325
-319	6	0.0634988
-318	2	0.0211663
-317	4	0.0423325
-316	4	0.0423325
-315	6	0.0634988
-314	3	0.0317494
-313	6	0.0634988
-312	8	0.084665
-311	5	0.0529157
-310	1	0.0105831
-309	1	0.0105831
-308	2	0.0211663
-307	1	0.0105831
-306	2	0.0211663
-305	1	0.0105831
-303	3	0.0317494
-302	2	0.0211663
-299	1	0.0105831
-298	1	0.0105831
-297	3	0.0317494
-296	1	0.0105831
-294	1	0.0105831
-293	1	0.0105831
-288	1	0.0105831
-287	3	0.0317494
-285	2	0.0211663
-284	1	0.0105831
-282	3	0.0317494
-281	1	0.0105831
-280	1	0.0105831
-278	1	0.0105831
-276	1	0.0105831
-275	1	0.0105831
-269	1	0.0105831
-265	2	0.0211663
-262	1	0.0105831
-261	1	0.0105831
-257	1	0.0105831
-256	1	0.0105831
-254	2	0.0211663
-252	1	0.0105831
-250	1	0.0105831
-245	1	0.0105831
-239	1	0.0105831
-238	1	0.0105831
-237	1	0.0105831
-234	2	0.0211663
-233	1	0.0105831
-231	1	0.0105831
-230	1	0.0105831
-228	1	0.0105831
-227	2	0.0211663
-226	1	0.0105831
-225	1	0.0105831
