LENGTH	COUNT	PRCT
-86616	1	0.0102543
-53681	1	0.0102543
-49509	1	0.0102543
-23977	1	0.0102543
-23484	1	0.0102543
-21785	1	0.0102543
-13526	1	0.0102543
-10421	1	0.0102543
-10379	1	0.0102543
-10025	1	0.0102543
-9602	1	0.0102543
-8761	1	0.0102543
-7466	1	0.0102543
-6367	1	0.0102543
-6244	1	0.0102543
-6105	1	0.0102543
-6078	2	0.0205086
-6077	1	0.0102543
-6075	2	0.0205086
-6065	1	0.0102543
-6052	1	0.0102543
-6038	1	0.0102543
-5971	1	0.0102543
-5903	1	0.0102543
-5811	1	0.0102543
-5494	1	0.0102543
-5232	1	0.0102543
-5149	1	0.0102543
-5047	1	0.0102543
-4901	1	0.0102543
-4860	1	0.0102543
-4854	1	0.0102543
-4663	1	0.0102543
-4620	1	0.0102543
-4324	1	0.0102543
-4299	1	0.0102543
-4210	1	0.0102543
-3997	1	0.0102543
-3818	1	0.0102543
-3753	1	0.0102543
-3339	1	0.0102543
-3312	1	0.0102543
-3157	1	0.0102543
-3154	1	0.0102543
-2977	1	0.0102543
-2931	1	0.0102543
-2864	1	0.0102543
-2653	2	0.0205086
-2611	1	0.0102543
-2603	1	0.0102543
-2600	1	0.0102543
-2037	1	0.0102543
-2015	1	0.0102543
-1994	1	0.0102543
-1992	1	0.0102543
-1980	1	0.0102543
-1974	1	0.0102543
-1963	1	0.0102543
-1925	1	0.0102543
-1919	1	0.0102543
-1905	1	0.0102543
-1882	1	0.0102543
-1844	1	0.0102543
-1830	1	0.0102543
-1822	1	0.0102543
-1807	1	0.0102543
-1785	1	0.0102543
-1758	1	0.0102543
-1739	1	0.0102543
-1638	1	0.0102543
-1636	1	0.0102543
-1621	1	0.0102543
-1606	1	0.0102543
-1567	1	0.0102543
-1539	1	0.0102543
-1505	1	0.0102543
-1502	1	0.0102543
-1500	1	0.0102543
-1485	1	0.0102543
-1445	1	0.0102543
-1436	1	0.0102543
-1415	1	0.0102543
-1407	1	0.0102543
-1352	1	0.0102543
-1341	1	0.0102543
-1270	1	0.0102543
-1224	1	0.0102543
-1172	1	0.0102543
-1151	1	0.0102543
-1142	1	0.0102543
-1128	1	0.0102543
-1122	2	0.0205086
-1109	1	0.0102543
-1107	1	0.0102543
-1089	1	0.0102543
-1075	1	0.0102543
-1074	1	0.0102543
-1073	1	0.0102543
-1066	1	0.0102543
-1054	1	0.0102543
-1042	1	0.0102543
-1036	1	0.0102543
-964	1	0.0102543
-958	1	0.0102543
-942	1	0.0102543
-926	1	0.0102543
-886	1	0.0102543
-883	1	0.0102543
-864	1	0.0102543
-862	1	0.0102543
-860	1	0.0102543
-858	1	0.0102543
-849	2	0.0205086
-842	1	0.0102543
-837	1	0.0102543
-822	1	0.0102543
-818	1	0.0102543
-816	3	0.0307629
-815	1	0.0102543
-812	1	0.0102543
-800	1	0.0102543
-796	1	0.0102543
-795	1	0.0102543
-794	1	0.0102543
-790	1	0.0102543
-789	1	0.0102543
-759	1	0.0102543
-748	1	0.0102543
-714	1	0.0102543
-702	1	0.0102543
-700	1	0.0102543
-693	1	0.0102543
-688	1	0.0102543
-682	1	0.0102543
-666	1	0.0102543
-656	1	0.0102543
-654	1	0.0102543
-650	1	0.0102543
-647	1	0.0102543
-642	1	0.0102543
-641	1	0.0102543
-631	1	0.0102543
-628	1	0.0102543
-627	1	0.0102543
-623	1	0.0102543
-621	1	0.0102543
-617	1	0.0102543
-604	1	0.0102543
-601	1	0.0102543
-595	1	0.0102543
-594	1	0.0102543
-561	1	0.0102543
-557	1	0.0102543
-536	1	0.0102543
-533	1	0.0102543
-531	1	0.0102543
-528	1	0.0102543
-522	1	0.0102543
-519	1	0.0102543
-509	1	0.0102543
-500	1	0.0102543
-496	1	0.0102543
-495	1	0.0102543
-493	2	0.0205086
-485	1	0.0102543
-481	1	0.0102543
-478	1	0.0102543
-476	2	0.0205086
-468	1	0.0102543
-462	1	0.0102543
-456	1	0.0102543
-455	1	0.0102543
-453	1	0.0102543
-452	1	0.0102543
-441	1	0.0102543
-434	1	0.0102543
-428	1	0.0102543
-423	1	0.0102543
-420	1	0.0102543
-419	2	0.0205086
-400	1	0.0102543
-398	1	0.0102543
-397	1	0.0102543
-396	3	0.0307629
-391	1	0.0102543
-388	1	0.0102543
-374	1	0.0102543
-360	1	0.0102543
-356	1	0.0102543
-354	1	0.0102543
-353	1	0.0102543
-351	2	0.0205086
-349	1	0.0102543
-348	1	0.0102543
-344	3	0.0307629
-343	2	0.0205086
-342	2	0.0205086
-341	1	0.0102543
-340	1	0.0102543
-339	2	0.0205086
-338	2	0.0205086
-337	2	0.0205086
-336	1	0.0102543
-335	4	0.0410172
-334	2	0.0205086
-333	3	0.0307629
-331	1	0.0102543
-330	1	0.0102543
-328	5	0.0512715
-327	3	0.0307629
-326	4	0.0410172
-325	2	0.0205086
